행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
강원도 정선군 (4277000000),20~24,"1,787","1,731","1,705","1,697","1,656","1,595",37.380655,128.66093
강원도 철원군 (4278000000),00~07,"3,169","3,026","2,908","2,814","2,738","2,658",38.146658,127.31336
강원도 철원군 (4278000000),08~13,"2,590","2,487","2,376","2,282","2,191","2,111",38.146658,127.31336
강원도 철원군 (4278000000),14~16,"1,633","1,534","1,363","1,235","1,143","1,117",38.146658,127.31336
강원도 철원군 (4278000000),17~19,"1,663","1,632","1,642","1,552","1,464","1,297",38.146658,127.31336
강원도 철원군 (4278000000),20~24,"4,374","3,874","3,434","3,302","2,998","2,824",38.146658,127.31336
강원도 춘천시 (4211000000),00~07,"18,971","18,817","18,405","17,865","16,994","16,432",37.881289,127.730023
강원도 춘천시 (4211000000),08~13,"15,986","15,775","15,251","15,164","15,366","15,656",37.881289,127.730023
강원도 춘천시 (4211000000),14~16,"10,670","10,059","9,179","8,461","7,980","7,654",37.881289,127.730023
강원도 춘천시 (4211000000),17~19,"11,447","11,170","10,925","10,594","9,914","9,075",37.881289,127.730023
강원도 춘천시 (4211000000),20~24,"19,040","19,522","19,540","19,306","19,176","19,114",37.881289,127.730023
강원도 태백시 (4219000000),00~07,"2,970","2,809","2,621","2,389","2,144","1,878",37.164032,128.985619
강원도 태백시 (4219000000),08~13,"2,424","2,350","2,302","2,270","2,236","2,228",37.164032,128.985619
강원도 태백시 (4219000000),14~16,"1,596","1,558","1,351","1,200","1,104","1,057",37.164032,128.985619
강원도 태백시 (4219000000),17~19,"1,865","1,665","1,603","1,644","1,524","1,336",37.164032,128.985619
강원도 태백시 (4219000000),20~24,"2,611","2,677","2,528","2,392","2,272","2,158",37.164032,128.985619
강원도 평창군 (4276000000),00~07,"2,037","1,890","1,802","1,696","1,562","1,404",37.370784,128.390284
강원도 평창군 (4276000000),08~13,"1,998","1,905","1,800","1,728","1,670","1,594",37.370784,128.390284
강원도 평창군 (4276000000),14~16,"1,263","1,199","1,080",991,889,828,37.370784,128.390284
강원도 평창군 (4276000000),17~19,"1,345","1,297","1,282","1,238","1,145","1,017",37.370784,128.390284
강원도 평창군 (4276000000),20~24,"2,130","2,125","2,061","2,013","1,884","1,858",37.370784,128.390284
강원도 홍천군 (4272000000),00~07,"3,897","3,705","3,567","3,402","3,113","2,865",37.697035,127.888757
강원도 홍천군 (4272000000),08~13,"3,297","3,138","3,051","3,013","2,932","2,862",37.697035,127.888757
강원도 홍천군 (4272000000),14~16,"2,261","2,067","1,923","1,721","1,652","1,450",37.697035,127.888757
강원도 홍천군 (4272000000),17~19,"2,352","2,323","2,261","2,178","1,975","1,862",37.697035,127.888757
강원도 홍천군 (4272000000),20~24,"3,892","3,746","3,696","3,512","3,411","3,558",37.697035,127.888757
