행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
전라북도 장수군 (4574000000),17~19,698,645,623,586,567,524,35.647339,127.52122
전라북도 장수군 (4574000000),20~24,"1,079","1,076","1,087","1,070","1,005",912,35.647339,127.52122
전라북도 전주시 (4511000000),00~07,"48,180","47,393","46,048","44,694","42,962","40,702",35.824158,127.148033
전라북도 전주시 (4511000000),08~13,"41,852","40,846","39,824","39,743","40,396","41,253",35.824158,127.148033
전라북도 전주시 (4511000000),14~16,"28,820","26,942","24,245","22,547","21,414","20,585",35.824158,127.148033
전라북도 전주시 (4511000000),17~19,"31,051","29,794","29,396","28,150","26,512","24,073",35.824158,127.148033
전라북도 전주시 (4511000000),20~24,"50,054","50,638","50,306","49,973","48,840","48,478",35.824158,127.148033
전라북도 전주시 덕진구 (4511300000),00~07,"22,199","22,099","21,887","23,345","23,579","22,123",35.829289,127.134347
전라북도 전주시 덕진구 (4511300000),08~13,"18,610","18,568","18,599","19,960","21,018","21,700",35.829289,127.134347
전라북도 전주시 덕진구 (4511300000),14~16,"12,378","11,742","10,629","10,439","10,276","10,106",35.829289,127.134347
전라북도 전주시 덕진구 (4511300000),17~19,"13,161","12,619","12,666","12,780","12,328","11,219",35.829289,127.134347
전라북도 전주시 덕진구 (4511300000),20~24,"21,640","21,849","21,969","22,470","22,452","22,505",35.829289,127.134347
전라북도 전주시 완산구 (4511100000),00~07,"25,981","25,294","24,161","21,349","19,383","18,579",35.812171,127.119736
전라북도 전주시 완산구 (4511100000),08~13,"23,242","22,278","21,225","19,783","19,378","19,553",35.812171,127.119736
전라북도 전주시 완산구 (4511100000),14~16,"16,442","15,200","13,616","12,108","11,138","10,479",35.812171,127.119736
전라북도 전주시 완산구 (4511100000),17~19,"17,890","17,175","16,730","15,370","14,184","12,854",35.812171,127.119736
전라북도 전주시 완산구 (4511100000),20~24,"28,414","28,789","28,337","27,503","26,388","25,973",35.812171,127.119736
전라북도 정읍시 (4518000000),00~07,"6,495","6,234","6,016","5,704","5,199","4,695",35.569842,126.856079
전라북도 정읍시 (4518000000),08~13,"6,099","5,847","5,614","5,388","5,386","5,320",35.569842,126.856079
전라북도 정읍시 (4518000000),14~16,"4,093","3,918","3,520","3,259","2,980","2,794",35.569842,126.856079
전라북도 정읍시 (4518000000),17~19,"4,629","4,375","4,258","3,937","3,752","3,388",35.569842,126.856079
전라북도 정읍시 (4518000000),20~24,"6,862","6,945","6,752","6,637","6,265","6,073",35.569842,126.856079
전라북도 진안군 (4572000000),00~07,"1,408","1,342","1,289","1,215","1,065",984,35.791747,127.424849
전라북도 진안군 (4572000000),08~13,985,960,960,953,936,921,35.791747,127.424849
전라북도 진안군 (4572000000),14~16,638,627,553,528,505,502,35.791747,127.424849
전라북도 진안군 (4572000000),17~19,763,743,737,690,626,566,35.791747,127.424849
전라북도 진안군 (4572000000),20~24,"1,135","1,193","1,187","1,158","1,116","1,069",35.791747,127.424849
