행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
경기도 김포시 (4157000000),20~24,"20,174","20,838","21,449","22,397","22,712","24,073",37.62311257,126.7037673,,
경기도 남양주시 (4136000000),00~07,"56,763","55,587","53,161","53,033","51,892","48,806",37.63885678,127.2281976,,
경기도 남양주시 (4136000000),08~13,"43,739","44,387","44,370","45,400","47,332","48,727",37.63885678,127.2281976,,
경기도 남양주시 (4136000000),14~16,"24,999","24,066","22,570","22,081","21,906","21,983",37.63885678,127.2281976,,
경기도 남양주시 (4136000000),17~19,"25,948","25,830","25,662","25,619","25,006","23,539",37.63885678,127.2281976,,
경기도 남양주시 (4136000000),20~24,"41,398","42,601","42,607","42,710","43,100","43,518",37.63885678,127.2281976,,
경기도 동두천시 (4125000000),00~07,"7,024","6,833","6,321","5,816","5,254","4,674",37.90123322,127.065256,,
경기도 동두천시 (4125000000),08~13,"5,576","5,537","5,323","5,233","5,151","5,125",37.90123322,127.065256,,
경기도 동두천시 (4125000000),14~16,"3,472","3,165","2,900","2,711","2,572","2,394",37.90123322,127.065256,,
경기도 동두천시 (4125000000),17~19,"3,544","3,563","3,524","3,374","3,068","2,802",37.90123322,127.065256,,
경기도 동두천시 (4125000000),20~24,"6,117","6,149","6,043","5,889","5,721","5,597",37.90123322,127.065256,,
경기도 부천시 (4119000000),00~07,"56,705","55,978","54,916","53,150","48,858","44,397",37.49685741,126.7921006,,
경기도 부천시 (4119000000),08~13,"44,430","43,344","42,268","41,766","41,232","40,641",37.49685741,126.7921006,,
경기도 부천시 (4119000000),14~16,"29,210","26,977","24,522","22,671","21,152","20,089",37.49685741,126.7921006,,
경기도 부천시 (4119000000),17~19,"34,348","32,454","30,969","29,187","26,598","24,216",37.49685741,126.7921006,,
경기도 부천시 (4119000000),20~24,"65,332","64,725","62,351","59,830","56,664","54,468",37.49685741,126.7921006,,
경기도 성남시 (4113000000),00~07,"65,942","65,909","64,200","59,777","55,671","52,516",37.43409061,127.1512997,,
경기도 성남시 (4113000000),08~13,"53,002","52,500","51,574","50,394","50,501","51,131",37.43409061,127.1512997,,
경기도 성남시 (4113000000),14~16,"35,029","32,805","29,791","27,860","26,503","25,432",37.43409061,127.1512997,,
경기도 성남시 (4113000000),17~19,"37,707","36,552","35,917","34,080","31,396","28,698",37.43409061,127.1512997,,
경기도 성남시 (4113000000),20~24,"67,612","67,843","65,955","63,934","61,171","59,890",37.43409061,127.1512997,,
경기도 성남시 분당구 (4113500000),00~07,"37,844","37,244","36,104","33,924","31,715","29,641",37.41696407,127.133884,,
경기도 성남시 분당구 (4113500000),08~13,"31,904","31,643","31,312","30,746","30,990","31,666",37.41696407,127.133884,,
경기도 성남시 분당구 (4113500000),14~16,"20,968","19,745","18,024","17,090","16,337","15,807",37.41696407,127.133884,,
경기도 성남시 분당구 (4113500000),17~19,"21,403","20,742","20,562","19,822","18,377","16,773",37.41696407,127.133884,,
경기도 성남시 분당구 (4113500000),20~24,"34,650","34,577","33,765","32,995","31,490","30,740",37.41696407,127.133884,,
경기도 성남시 수정구 (4113100000),00~07,"12,710","13,743","14,234","13,382","12,687","12,575",37.43954906,127.144581,,
경기도 성남시 수정구 (4113100000),08~13,"9,450","9,924","9,963","9,849","9,999","10,172",37.43954906,127.144581,,
경기도 성남시 수정구 (4113100000),14~16,"6,214","6,071","5,630","5,251","5,113","4,971",37.43954906,127.144581,,
경기도 성남시 수정구 (4113100000),17~19,"7,405","7,691","7,596","6,995","6,361","6,088",37.43954906,127.144581,,
경기도 성남시 수정구 (4113100000),20~24,"15,035","16,243","16,361","15,828","15,428","15,673",37.43954906,127.144581,,
경기도 성남시 중원구 (4113300000),00~07,"15,388","14,922","13,862","12,471","11,269","10,300",37.4457587,127.175434,,
경기도 성남시 중원구 (4113300000),08~13,"11,648","10,933","10,299","9,799","9,512","9,293",37.4457587,127.175434,,
경기도 성남시 중원구 (4113300000),14~16,"7,847","6,989","6,137","5,519","5,053","4,654",37.4457587,127.175434,,
경기도 성남시 중원구 (4113300000),17~19,"8,899","8,119","7,759","7,263","6,658","5,837",37.4457587,127.175434,,
경기도 성남시 중원구 (4113300000),20~24,"17,927","17,023","15,829","15,111","14,253","13,477",37.4457587,127.175434,,
경기도 수원시 (4111000000),00~07,"95,465","93,808","91,488","87,654","81,886","74,726",37.28730801,127.0304835,,
경기도 수원시 (4111000000),08~13,"71,629","71,309","69,886","68,868","69,492","69,802",37.28730801,127.0304835,,
경기도 수원시 (4111000000),14~16,"45,858","43,030","39,521","37,081","35,306","33,714",37.28730801,127.0304835,,
경기도 수원시 (4111000000),17~19,"50,604","48,322","47,767","46,054","43,133","39,155",37.28730801,127.0304835,,
