행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
충청북도 청주시 서원구 (4311200000),14~16,"8,971","8,357","7,789","7,011","6,434","5,984",36.637633,127.469835,,
충청북도 청주시 서원구 (4311200000),17~19,"9,989","9,497","9,203","8,667","7,827","6,963",36.637633,127.469835,,
충청북도 청주시 서원구 (4311200000),20~24,"16,919","16,912","16,987","16,522","15,594","14,670",36.637633,127.469835,,
충청북도 청주시 청원구 (4311400000),00~07,"17,562","18,808","18,899","18,662","17,487","15,717",36.65154,127.486656,,
충청북도 청주시 청원구 (4311400000),08~13,"11,192","11,778","12,003","12,309","12,624","12,911",36.65154,127.486656,,
충청북도 청주시 청원구 (4311400000),14~16,"6,389","6,275","5,823","5,566","5,487","5,424",36.65154,127.486656,,
충청북도 청주시 청원구 (4311400000),17~19,"6,839","6,885","6,731","6,639","6,218","5,690",36.65154,127.486656,,
충청북도 청주시 청원구 (4311400000),20~24,"11,652","12,322","12,499","12,499","12,161","11,652",36.65154,127.486656,,
충청북도 청주시 흥덕구 (4311300000),00~07,"21,118","20,478","19,860","19,000","19,164","18,690",36.64147,127.431441,,
충청북도 청주시 흥덕구 (4311300000),08~13,"15,735","15,557","15,254","15,026","15,671","16,084",36.64147,127.431441,,
충청북도 청주시 흥덕구 (4311300000),14~16,"10,118","9,375","8,476","8,027","7,756","7,545",36.64147,127.431441,,
충청북도 청주시 흥덕구 (4311300000),17~19,"11,108","10,500","10,246","9,762","9,188","8,519",36.64147,127.431441,,
충청북도 청주시 흥덕구 (4311300000),20~24,"19,318","19,696","19,562","19,012","18,646","18,295",36.64147,127.431441,,
충청북도 충주시 (4313000000),00~07,"12,964","12,694","12,424","12,298","11,703","11,071",36.990984,127.926004,,
충청북도 충주시 (4313000000),08~13,"11,161","10,969","10,672","10,703","10,962","11,025",36.990984,127.926004,,
충청북도 충주시 (4313000000),14~16,"7,699","7,116","6,401","5,901","5,558","5,317",36.990984,127.926004,,
충청북도 충주시 (4313000000),17~19,"8,303","8,012","7,813","7,595","6,973","6,279",36.990984,127.926004,,
충청북도 충주시 (4313000000),20~24,"13,706","13,606","13,256","13,163","12,728","12,337",36.990984,127.926004,,
