행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
충청남도 천안시 (4413000000),08~13,"38,804","38,951","39,414","40,012","41,130","42,054",36.815073,127.11405,,
충청남도 천안시 (4413000000),14~16,"24,562","23,260","21,506","20,350","19,770","19,496",36.815073,127.11405,,
충청남도 천안시 (4413000000),17~19,"25,642","24,952","25,046","24,872","23,570","21,624",36.815073,127.11405,,
충청남도 천안시 (4413000000),20~24,"44,817","46,197","46,439","46,201","45,840","45,684",36.815073,127.11405,,
충청남도 천안시 동남구 (4413100000),00~07,"21,187","20,061","18,479","17,642","16,743","15,503",36.806998,127.150342,,
충청남도 천안시 동남구 (4413100000),08~13,"16,060","15,950","15,558","15,372","15,613","15,586",36.806998,127.150342,,
충청남도 천안시 동남구 (4413100000),14~16,"9,959","9,322","8,515","7,848","7,676","7,444",36.806998,127.150342,,
충청남도 천안시 동남구 (4413100000),17~19,"10,630","10,176","9,944","9,850","9,277","8,505",36.806998,127.150342,,
충청남도 천안시 동남구 (4413100000),20~24,"18,647","18,723","18,300","18,218","18,053","17,774",36.806998,127.150342,,
충청남도 천안시 서북구 (4413300000),00~07,"30,841","32,008","34,186","35,155","33,997","32,612",36.878386,127.155155,,
충청남도 천안시 서북구 (4413300000),08~13,"22,744","23,001","23,856","24,640","25,517","26,468",36.878386,127.155155,,
충청남도 천안시 서북구 (4413300000),14~16,"14,603","13,938","12,991","12,502","12,094","12,052",36.878386,127.155155,,
충청남도 천안시 서북구 (4413300000),17~19,"15,012","14,776","15,102","15,022","14,293","13,119",36.878386,127.155155,,
충청남도 천안시 서북구 (4413300000),20~24,"26,170","27,474","28,139","27,983","27,787","27,910",36.878386,127.155155,,
충청남도 청양군 (4479000000),00~07,"1,398","1,312","1,239","1,131","1,013",943,36.459192,126.802131,,
충청남도 청양군 (4479000000),08~13,"1,133","1,097","1,051","1,037","1,024","1,027",36.459192,126.802131,,
충청남도 청양군 (4479000000),14~16,918,826,729,655,589,556,36.459192,126.802131,,
충청남도 청양군 (4479000000),17~19,"1,049","1,019","1,002","1,082",902,807,36.459192,126.802131,,
충청남도 청양군 (4479000000),20~24,"1,569","1,529","1,658","1,799","1,675","1,506",36.459192,126.802131,,
충청남도 태안군 (4482500000),00~07,"3,182","3,058","2,885","2,723","2,536","2,334",36.745587,126.298144,,
충청남도 태안군 (4482500000),08~13,"2,707","2,722","2,664","2,580","2,539","2,472",36.745587,126.298144,,
충청남도 태안군 (4482500000),14~16,"1,691","1,602","1,491","1,372","1,327","1,299",36.745587,126.298144,,
충청남도 태안군 (4482500000),17~19,"2,084","1,987","1,962","1,802","1,656","1,540",36.745587,126.298144,,
충청남도 태안군 (4482500000),20~24,"3,157","3,198","3,214","3,129","2,932","2,679",36.745587,126.298144,,
충청남도 홍성군 (4480000000),00~07,"6,056","6,794","6,892","6,587","6,228","5,876",36.601346,126.660815,,
충청남도 홍성군 (4480000000),08~13,"5,069","5,508","5,647","5,657","5,718","5,848",36.601346,126.660815,,
충청남도 홍성군 (4480000000),14~16,"3,191","3,125","2,997","2,892","2,799","2,713",36.601346,126.660815,,
충청남도 홍성군 (4480000000),17~19,"3,237","3,344","3,480","3,448","3,322","2,992",36.601346,126.660815,,
충청남도 홍성군 (4480000000),20~24,"5,345","5,445","5,533","5,529","5,399","5,129",36.601346,126.660815,,
