행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 중구 (1114000000),00~07,"6,682","6,622","6,502","6,329","6,037","5,555",37.56180104,126.9810874
서울특별시 중구 (1114000000),08~13,"4,423","4,280","4,095","3,988","4,004","3,978",37.56180104,126.9810874
서울특별시 중구 (1114000000),14~16,"2,842","2,587","2,301","2,120","1,972","1,881",37.56180104,126.9810874
서울특별시 중구 (1114000000),17~19,"3,606","3,396","3,252","3,094","2,863","2,541",37.56180104,126.9810874
서울특별시 중구 (1114000000),20~24,"8,334","8,279","8,138","7,894","7,746","7,762",37.56180104,126.9810874
