행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 동작구 (1159000000),00~07,"25,579","24,986","23,927","22,597","21,363","19,570",37.50597692,126.9405927
서울특별시 동작구 (1159000000),08~13,"17,754","17,285","16,927","16,453","16,443","16,199",37.50597692,126.9405927
서울특별시 동작구 (1159000000),14~16,"10,545","9,936","9,153","8,638","8,236","7,882",37.50597692,126.9405927
서울특별시 동작구 (1159000000),17~19,"12,893","12,346","11,861","11,359","10,862","9,824",37.50597692,126.9405927
서울특별시 동작구 (1159000000),20~24,"29,301","29,622","29,168","28,707","28,712","28,108",37.50597692,126.9405927
