행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 의왕시 (4143000000),00~07,"12,245","11,597","10,726","9,944","10,204","10,385",37.34374555,126.9668705
경기도 의왕시 (4143000001),08~13,"8,712","8,452","8,272","8,098","8,234","8,529",37.34374555,126.9668705
경기도 의왕시 (4143000002),14~16,"5,784","5,262","4,832","4,275","4,156","4,011",37.34374555,126.9668705
경기도 의왕시 (4143000003),17~19,"6,493","6,274","5,998","5,806","5,533","5,222",37.34374555,126.9668705
경기도 의왕시 (4143000004),20~24,"11,593","11,604","11,333","11,028","11,165","11,213",37.34374555,126.9668705
