행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 노원구 (1135000000),00~07,"35,791","34,415","32,594","30,121","27,425","25,257",37.65509321,127.0659595
서울특별시 노원구 (1135000000),08~13,"33,390","32,153","30,630","29,043","28,438","27,859",37.65509321,127.0659595
서울특별시 노원구 (1135000000),14~16,"23,826","22,141","19,810","18,114","16,963","16,054",37.65509321,127.0659595
서울특별시 노원구 (1135000000),17~19,"25,603","24,655","23,980","22,889","21,142","18,675",37.65509321,127.0659595
서울특별시 노원구 (1135000000),20~24,"42,700","42,904","42,221","41,227","39,587","38,086",37.65509321,127.0659595
