행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
세종특별자치시  (3600000000),00~07,"22,892","27,452","31,403","35,063","36,804","36,288",36.58212438,127.301611
세종특별자치시  (3600000000),08~13,"15,215","18,649","22,108","25,431","28,323","30,333",36.58212438,127.301611
세종특별자치시  (3600000000),14~16,"6,946","7,992","9,106","10,373","11,199","12,078",36.58212438,127.301611
세종특별자치시  (3600000000),17~19,"5,749","6,785","8,133","9,397","10,028","10,311",36.58212438,127.301611
세종특별자치시  (3600000000),20~24,"10,887","12,535","13,979","15,642","16,406","16,788",36.58212438,127.301611
