행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 시흥시 정왕1동(4139059100),20~24,"1,838","1,825","1,785","1,646","1,582","1,594",126.7501593,37.3400775
경기도 시흥시 정왕본동(4139058900),0~7,"1,754","1,604","1,421","1,182","1,016",949,126.7561088,37.36103287
경기도 시흥시 정왕본동(4139058900),08~13,908,911,886,810,757,743,126.7561088,37.36103287
경기도 시흥시 정왕본동(4139058900),14~16,466,400,365,317,294,303,126.7561088,37.36103287
경기도 시흥시 정왕본동(4139058900),17~19,577,489,462,407,360,354,126.7561088,37.36103287
경기도 시흥시 정왕본동(4139058900),20~24,"1,655","1,607","1,574","1,368","1,222","1,225",126.7561088,37.36103287
경기도 시흥시 월곶동(4139058200),0~7,"1,824","1,653","1,552","1,343","1,163","1,107",126.7433897,37.39080457
경기도 시흥시 월곶동(4139058200),08~13,"1,038","1,043","1,030",975,992,"1,012",126.7433897,37.39080457
경기도 시흥시 월곶동(4139058200),14~16,454,447,420,423,406,405,126.7433897,37.39080457
경기도 시흥시 월곶동(4139058200),17~19,451,434,450,429,422,432,126.7433897,37.39080457
경기도 시흥시 월곶동(4139058200),20~24,797,849,815,798,788,826,126.7433897,37.39080457
경기도 시흥시 군자동(4139058100),0~7,"2,211","2,024","1,859","1,614","1,385","1,234",126.7913282,37.35779243
경기도 시흥시 군자동(4139058100),08~13,"1,572","1,520","1,480","1,397","1,351","1,321",126.7913282,37.35779243
경기도 시흥시 군자동(4139058100),14~16,977,896,809,694,651,635,126.7913282,37.35779243
경기도 시흥시 군자동(4139058100),17~19,"1,111","1,071","1,021",919,833,744,126.7913282,37.35779243
경기도 시흥시 군자동(4139058100),20~24,"1,831","1,852","1,763","1,647","1,583","1,517",126.7913282,37.35779243
경기도 시흥시 목감동(4139057000),0~7,887,"1,654","3,324","5,035","5,465","5,043",126.8670038,37.38605412
경기도 시흥시 목감동(4139057000),08~13,625,834,"1,391","2,117","2,664","2,745",126.8670038,37.38605412
경기도 시흥시 목감동(4139057000),14~16,381,497,599,795,878,905,126.8670038,37.38605412
경기도 시흥시 목감동(4139057000),17~19,459,505,724,881,978,865,126.8670038,37.38605412
경기도 시흥시 목감동(4139057000),20~24,825,"1,070","1,490","1,887","1,921","1,897",126.8670038,37.38605412
경기도 시흥시 매화동(4139055000),0~7,885,857,807,678,587,537,126.8102384,37.4166323
