행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 여주시 (4167000000),00~07,"7,329","7,165","6,842","6,457","5,948","5,628",37.25105843,127.5990026
경기도 여주시 (4167000001),08~13,"5,959","5,775","5,762","5,536","5,523","5,559",37.25105843,127.5990026
경기도 여주시 (4167000002),14~16,"3,886","3,555","3,237","2,992","2,870","2,808",37.25105843,127.5990026
경기도 여주시 (4167000003),17~19,"4,004","4,128","3,912","3,770","3,471","3,194",37.25105843,127.5990026
경기도 여주시 (4167000004),20~24,"6,736","6,736","6,554","6,426","6,282","6,188",37.25105843,127.5990026
