행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 구리시 (4131000000),00~07,"13,022","13,160","13,368","13,864","12,963","11,892",37.64169399,127.1290279
경기도 구리시 (4131000001),08~13,"10,941","10,906","10,811","10,795","10,662","10,542",37.64169399,127.1290279
경기도 구리시 (4131000002),14~16,"7,334","6,956","6,321","5,902","5,466","5,323",37.64169399,127.1290279
경기도 구리시 (4131000003),17~19,"7,968","7,683","7,713","7,473","6,840","6,128",37.64169399,127.1290279
경기도 구리시 (4131000004),20~24,"13,966","14,411","14,459","14,466","13,676","13,229",37.64169399,127.1290279
