행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 중랑구 (1126000000),00~07,"24,466","23,663","23,043","21,487","19,899","18,361",37.59276613,127.0867683
서울특별시 중랑구 (1126000000),08~13,"17,427","16,857","16,293","15,594","15,389","15,189",37.59276613,127.0867683
서울특별시 중랑구 (1126000000),14~16,"11,824","10,811","9,669","8,728","8,106","7,655",37.59276613,127.0867683
서울특별시 중랑구 (1126000000),17~19,"14,445","13,453","12,654","11,859","10,780","9,715",37.59276613,127.0867683
서울특별시 중랑구 (1126000000),20~24,"29,500","29,137","28,064","26,579","25,010","24,020",37.59276613,127.0867683
