행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 영등포구 (1156000000),00~07,"24,349","23,463","22,631","21,922","20,931","20,492",37.52215593,126.8945102
서울특별시 영등포구 (1156000000),08~13,"15,875","15,321","14,609","14,057","13,994","14,193",37.52215593,126.8945102
서울특별시 영등포구 (1156000000),14~16,"9,779","8,957","8,045","7,472","6,956","6,831",37.52215593,126.8945102
서울특별시 영등포구 (1156000000),17~19,"11,435","10,736","10,363","9,742","9,107","8,431",37.52215593,126.8945102
서울특별시 영등포구 (1156000000),20~24,"24,562","23,854","23,189","22,536","22,019","21,900",37.52215593,126.8945102
