행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 광명시 (4121000000),00~07,"27,782","26,162","24,185","22,371","20,144","18,064",37.48331996,126.8624732
경기도 광명시 (4121000001),08~13,"21,168","20,691","20,147","19,288","18,664","17,981",37.48331996,126.8624732
경기도 광명시 (4121000002),14~16,"12,707","12,016","10,914","10,291","9,676","9,149",37.48331996,126.8624732
경기도 광명시 (4121000003),17~19,"13,166","12,749","12,571","12,182","11,437","10,136",37.48331996,126.8624732
경기도 광명시 (4121000004),20~24,"22,854","22,432","21,649","21,238","20,170","19,167",37.48331996,126.8624732
