행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 군포시 (4141000000),00~07,"23,777","22,741","21,212","19,285","17,618","16,117",37.3618534,126.9279001
경기도 군포시 (4141000001),08~13,"17,302","16,963","16,282","15,544","15,447","15,281",37.3618534,126.9279001
경기도 군포시 (4141000002),14~16,"10,694","10,151","9,266","8,632","8,068","7,713",37.3618534,126.9279001
경기도 군포시 (4141000003),17~19,"11,412","10,988","10,831","10,444","9,840","9,054",37.3618534,126.9279001
경기도 군포시 (4141000004),20~24,"20,318","20,002","19,494","18,856","18,111","18,073",37.3618534,126.9279001
