행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 서대문구 (1141000000),00~07,"17,174","18,278","17,679","16,910","16,234","15,996",37.59296122,126.9325707
서울특별시 서대문구 (1141000000),08~13,"13,772","13,757","13,422","12,999","13,069","13,234",37.59296122,126.9325707
서울특별시 서대문구 (1141000000),14~16,"9,218","8,794","8,186","7,496","7,155","6,797",37.59296122,126.9325707
서울특별시 서대문구 (1141000000),17~19,"10,614","10,329","10,028","9,637","9,081","8,437",37.59296122,126.9325707
서울특별시 서대문구 (1141000000),20~24,"23,103","23,662","23,453","22,996","22,720","23,027",37.59296122,126.9325707
