행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 평택시 (4122000000),00~07,"37,610","38,020","37,778","37,418","37,249","37,311",36.99337205,127.1161753
경기도 평택시 (4122000001),08~13,"28,620","28,818","29,121","29,868","31,223","32,898",36.99337205,127.1161753
경기도 평택시 (4122000002),14~16,"17,759","17,174","15,984","15,122","14,760","14,717",36.99337205,127.1161753
경기도 평택시 (4122000003),17~19,"18,524","18,235","18,302","18,105","17,641","16,644",36.99337205,127.1161753
경기도 평택시 (4122000004),20~24,"30,480","31,461","32,071","32,517","32,531","33,447",36.99337205,127.1161753
