행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 김포시 (4157000000),00~07,"34,840","35,472","38,489","41,106","41,083","41,637",37.68311257,126.6437673
경기도 김포시 (4157000001),08~13,"23,098","24,013","25,869","28,200","30,522","33,750",37.68311257,126.6437673
경기도 김포시 (4157000002),14~16,"12,249","12,120","11,993","12,148","12,299","12,942",37.68311257,126.6437673
경기도 김포시 (4157000003),17~19,"12,236","12,178","12,611","12,881","12,783","12,843",37.68311257,126.6437673
경기도 김포시 (4157000004),20~24,"20,112","20,791","21,433","22,266","22,724","23,972",37.68311257,126.6437673
