행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 이천시 (4150000000),00~07,"17,140","17,307","17,341","16,640","15,636","14,555",37.16566618,127.630773
경기도 이천시 (4150000001),08~13,"13,059","13,243","13,213","13,001","13,184","13,342",37.16566618,127.630773
경기도 이천시 (4150000002),14~16,"8,129","7,777","7,112","6,711","6,323","6,336",37.16566618,127.630773
경기도 이천시 (4150000003),17~19,"9,178","9,387","9,185","9,218","8,865","8,599",37.16566618,127.630773
경기도 이천시 (4150000004),20~24,"13,226","13,782","13,690","13,504","13,423","13,726",37.16566618,127.630773
