행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 광진구 (1121500000),00~07,"20,810","20,240","19,631","18,458","17,172","15,327",37.54734047,127.0740568
서울특별시 광진구 (1121500000),08~13,"16,246","15,834","15,312","14,952","14,781","14,549",37.54734047,127.0740568
서울특별시 광진구 (1121500000),14~16,"11,101","10,003","8,976","8,317","7,961","7,528",37.54734047,127.0740568
서울특별시 광진구 (1121500000),17~19,"12,870","12,362","11,800","11,072","10,168","9,031",37.54734047,127.0740568
서울특별시 광진구 (1121500000),20~24,"27,487","27,583","27,447","26,828","26,414","26,455",37.54734047,127.0740568
