행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 강서구 (1150000000),00~07,"41,209","40,915","40,410","38,461","35,538","31,434",37.55446523,126.8431663
서울특별시 강서구 (1150000000),08~13,"28,445","28,031","27,443","26,647","26,694","26,390",37.55446523,126.8431663
서울특별시 강서구 (1150000000),14~16,"17,587","16,739","15,425","14,343","13,577","12,958",37.55446523,126.8431663
서울특별시 강서구 (1150000000),17~19,"20,114","19,063","18,549","17,809","16,730","15,323",37.55446523,126.8431663
서울특별시 강서구 (1150000000),20~24,"40,065","39,822","39,406","37,673","36,038","34,714",37.55446523,126.8431663
