행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 동대문구 (1123000000),00~07,"21,164","20,314","19,181","18,621","17,654","16,505",37.57295268,127.0420299
서울특별시 동대문구 (1123000001),08~13,"15,338","14,891","14,268","13,936","13,803","13,572",37.57295268,127.0420299
서울특별시 동대문구 (1123000002),14~16,"9,818","9,055","8,115","7,388","6,914","6,591",37.57295268,127.0420299
서울특별시 동대문구 (1123000003),17~19,"11,795","11,292","10,854","10,364","9,616","8,639",37.57295268,127.0420299
서울특별시 동대문구 (1123000004),20~24,"26,834","26,582","26,112","25,994","25,674","26,207",37.57295268,127.0420299
