행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 서초구 (1165000000),00~07,"33,630","32,414","31,145","29,158","27,195","25,291",37.49050811,126.9970148
서울특별시 서초구 (1165000000),08~13,"26,751","26,918","26,879","26,639","26,964","27,507",37.49050811,126.9970148
서울특별시 서초구 (1165000000),14~16,"16,249","15,390","14,329","13,972","13,520","13,305",37.49050811,126.9970148
서울특별시 서초구 (1165000000),17~19,"16,587","16,145","15,872","15,458","14,478","13,492",37.49050811,126.9970148
서울특별시 서초구 (1165000000),20~24,"28,689","28,390","27,505","26,587","25,834","25,357",37.49050811,126.9970148
