행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 도봉구 (1132000000),00~07,"20,576","20,022","18,969","17,722","16,224","14,526",37.661576,127.0363353
서울특별시 도봉구 (1132000000),08~13,"16,932","16,147","15,506","14,822","14,491","14,179",37.661576,127.0363353
서울특별시 도봉구 (1132000000),14~16,"11,604","10,719","9,532","8,735","7,999","7,407",37.661576,127.0363353
서울특별시 도봉구 (1132000000),17~19,"13,411","12,740","12,010","11,425","10,525","9,242",37.661576,127.0363353
서울특별시 도봉구 (1132000000),20~24,"24,998","24,610","23,964","22,810","21,817","20,779",37.661576,127.0363353
