행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 송파구 (1171000000),00~07,"45,476","44,015","43,985","42,904","42,241","39,404",37.50852869,127.1032114
서울특별시 송파구 (1171000000),08~13,"35,687","34,752","34,604","34,253","35,043","35,335",37.50852869,127.1032114
서울특별시 송파구 (1171000000),14~16,"22,967","21,307","19,551","18,260","17,646","17,078",37.50852869,127.1032114
서울특별시 송파구 (1171000000),17~19,"24,881","23,425","23,021","22,539","21,342","19,175",37.50852869,127.1032114
서울특별시 송파구 (1171000000),20~24,"45,290","44,451","43,647","42,885","42,198","40,734",37.50852869,127.1032114
