행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 강동구 (1174000000),00~07,"29,864","27,933","27,566","25,514","23,950","26,863",37.56653725,127.1594756
서울특별시 강동구 (1174000000),08~13,"22,928","21,859","21,423","20,780","20,934","23,490",37.56653725,127.1594756
서울특별시 강동구 (1174000000),14~16,"15,072","13,784","12,532","11,573","10,815","11,023",37.56653725,127.1594756
서울특별시 강동구 (1174000000),17~19,"17,250","16,045","15,208","14,115","13,109","12,600",37.56653725,127.1594756
서울특별시 강동구 (1174000000),20~24,"32,132","30,801","29,240","27,355","26,255","26,728",37.56653725,127.1594756
