행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 관악구 (1162000000),00~07,"27,279","25,961","24,474","22,438","20,182","17,890",37.47900073,126.9508695
서울특별시 관악구 (1162000000),08~13,"19,014","18,189","17,388","16,567","16,159","15,560",37.47900073,126.9508695
서울특별시 관악구 (1162000000),14~16,"11,726","10,980","9,889","9,194","8,600","8,179",37.47900073,126.9508695
서울특별시 관악구 (1162000000),17~19,"14,891","14,039","13,584","12,726","12,035","10,835",37.47900073,126.9508695
서울특별시 관악구 (1162000000),20~24,"39,081","40,168","39,916","40,498","40,381","40,149",37.47900073,126.9508695
